name,cluster,environment,period_ms,pdot,pdot_source,logP,logPdot_abs,log_b_proxy
J1801-0857Q,NGC 6517,globular_cluster,7.2581,1.8245e-18,freire,-2.1392,-17.7389,-9.9390
J1801-0857R,NGC 6517,globular_cluster,6.5852,1.8250e-18,freire,-2.1814,-17.7387,-9.9601
J1801-0857S,NGC 6517,globular_cluster,3.7700,1.8250e-18,freire,-2.4237,-17.7387,-10.0812
J1801-0857T,NGC 6517,globular_cluster,3.6800,1.8250e-18,freire,-2.4342,-17.7387,-10.0864
J1801-0857U,NGC 6517,globular_cluster,6.0200,1.8390e-18,freire,-2.2204,-17.7354,-9.9779
J1801-0857V,NGC 6517,globular_cluster,4.5500,1.8290e-18,freire,-2.3420,-17.7378,-10.0399
J1803-3002A,NGC 6522,globular_cluster,7.1014,4.0000e-20,freire,-2.1487,-19.3979,-10.7733
J1803-3002B,NGC 6522,globular_cluster,4.3970,1.9179e-18,freire,-2.3568,-17.7172,-10.0370
J1803-3002C,NGC 6522,globular_cluster,5.8404,6.9730e-19,freire,-2.2336,-18.1566,-10.1951
J1803-3002D,NGC 6522,globular_cluster,5.5300,1.9266e-18,freire,-2.2573,-17.7152,-9.9862
J1803-3002E,NGC 6522,globular_cluster,17.9260,1.9279e-18,freire,-1.7465,-17.7149,-9.7307
J1803-3002F,NGC 6522,globular_cluster,0.6000,1.4814e-18,freire,-3.2218,-17.8293,-10.5256
B1802-07,NGC 6539,globular_cluster,23.1009,4.7000e-19,freire,-1.6364,-18.3279,-9.9821
