CID,sn_ra,sn_dec,sn_z,x1,HOST_LOGMASS,sigma_host,sigma_err,sdss_z,sdss_ra,sdss_dec,match_sep_arcsec,plate,mjd,fiberID,sigma_source
15466,317.645,-0.1232,0.24444,-1.06261,10.622,74.057594,16.988384,0.24615273,317.64542000000006,-0.12273683,2.2508656663971984,4191,55444,374,SDSS_specObj
15467,320.02,-0.1774,0.20856,0.82038,10.43,119.20972,53.61706,0.21041203,320.02009,-0.177353,0.3655183085883922,1523,52937,21,SDSS_specObj
15508,27.169,-0.5766,0.13372,0.88393,9.13587,45.400455,25.769608,0.13463846,27.16943900000001,-0.5757805,3.346803193498236,4232,55447,278,SDSS_specObj
15648,313.718,-0.1948,0.17392,-1.3803,11.339,245.29515,17.38925,0.17501742,313.7188,-0.19581345,4.648147170515654,983,52443,114,SDSS_specObj
15868,38.0998,-0.7136,0.24986,0.32497,10.387,129.72841,55.511734,0.25076577,38.100352999999984,-0.71407967,2.635251252091984,3745,55234,423,SDSS_specObj
15872,36.7225,-0.3278,0.20562,0.76107,9.66,82.79831,37.82548,0.20647661,36.72240399999998,-0.32782936,0.3613960357445558,3615,55179,352,SDSS_specObj
15897,11.6814,-1.0329,0.17374,-2.41302,10.816,210.49306,29.081297,0.17497157,11.681599000000006,-1.0324991,1.6112119493218058,3589,55186,128,SDSS_specObj
15901,31.9763,-0.5354,0.20382,0.059763,9.969,127.12231,38.23912,0.2048478,31.976269000000002,-0.53534274,0.2344046141062203,4235,55451,304,SDSS_specObj
16021,13.8437,-0.3888,0.12357,-0.33583,9.49127,60.829166,21.012653,0.124625474,13.84384799999998,-0.38922486,1.619635998624941,4224,55481,188,SDSS_specObj
16069,341.246,-1.0066,0.12706,0.89709,10.179,151.64874,21.197166,0.12876529,341.24505,-1.0063945,3.498584718842441,378,52146,135,SDSS_specObj
16072,3.1244,-0.9773,0.28446,0.25329,10.943,119.39468,17.956005,0.28588015,3.124561299999982,-0.97782979,1.9936576413082283,4218,55479,325,SDSS_specObj
16073,8.1078,-1.054,0.15357,0.73651,9.751,158.05244,39.341618,0.15473202,8.107653599999992,-1.0539264,0.5898143618284257,3587,55182,452,SDSS_specObj
16116,355.302,-1.1058,0.15526,0.53168,9.52,426.30597,147.76227,0.15650555,355.30219,-1.1059685,0.9141363607120745,4213,55449,174,SDSS_specObj
16206,5.7882,-0.0536,0.15856,-2.62037,10.927,183.08414,9.806037,0.15970618,5.788312000000019,-0.053570629,0.41683343791875793,4219,55480,146,SDSS_specObj
16259,352.03,0.8564,0.11792,-1.4998,10.994,850.0,-3.0,0.34600127,352.02997000000005,0.85634999,0.20993893325531518,4211,55446,798,SDSS_specObj
16281,352.942,-0.6681,0.18522,-0.815183,10.394,99.17235,14.675812,0.18654193,352.94219999999996,-0.66806749,0.7294017724761775,4212,55447,386,SDSS_specObj
16350,323.639,-0.8858,0.23693,-0.956479,10.79,87.425316,15.053366,0.23827386,323.63879,-0.88496916,3.085064683563034,4195,55452,451,SDSS_specObj
16482,328.71,0.9337,0.20948,-2.22105,11.5,250.00107,10.462658,0.21001771,328.71109,0.93305119,4.566098919042205,4197,55479,868,SDSS_specObj
17168,339.724,-1.1671,0.18389,0.54542,9.757,59.30392,44.808964,0.1851784,339.72362999999996,-1.1672342,1.416648431984762,4204,55470,284,SDSS_specObj
17215,54.9264,1.0923,0.18092,0.29117,11.331,149.24696,14.671184,0.18136407,54.927413,1.0926785,3.8924278287831986,416,51811,411,SDSS_specObj
17218,356.172,-0.0301,0.17713,-0.7975,10.158,76.93567,19.980497,0.17838484,356.17178,-0.03010626,0.7923204517224836,4214,55451,396,SDSS_specObj
17220,9.7015,-0.1792,0.17786,1.85173,10.863,150.223,25.318008,0.17907767,9.701368300000013,-0.1792639,0.526978155399088,3589,55186,496,SDSS_specObj
17332,43.7735,-0.1474,0.18217,-0.208196,10.604,86.68014,34.38674,0.18285722,43.772488,-0.147688,3.7878453589873717,1562,53052,164,SDSS_specObj
17340,41.2121,0.3648,0.25637,-0.045383,11.443,169.10439,22.46956,0.25709248,41.213383,0.36531401,4.975596527928754,1561,53032,375,SDSS_specObj
17389,323.295,-0.9601,0.16971,1.11247,9.891,15.219528,66.88474,0.17088665,323.29501000000005,-0.9600833,0.07007175279445839,4194,55450,173,SDSS_specObj
17497,37.1366,-1.0421,0.14404,0.90707,10.0189,85.71771,26.481575,0.14482075,37.13647800000001,-1.0428232,2.6402933893291665,3744,55209,444,SDSS_specObj
17552,322.321,-1.0032,0.25199,1.31187,10.693,312.65982,96.70366,0.2533397,322.32125999999994,-1.0028009,1.7146739767195351,4194,55450,412,SDSS_specObj
17605,309.203,0.0984,0.14542,0.80389,10.2332,166.99854,17.159225,0.14642988,309.20254,0.098497002,1.6924164888749604,981,52435,334,SDSS_specObj
17629,30.6364,-1.0892,0.13658,-0.34633,10.6342,147.46704,12.44157,0.13681537,30.636483,-1.0899535,2.7290012672410127,404,51812,285,SDSS_specObj
17809,6.3646,-0.8396,0.28758,1.7352,9.84,81.41434,65.89889,0.2889638,6.364948700000014,-0.83933519,1.5761666937006173,4219,55480,52,SDSS_specObj
17875,20.9834,1.255,0.23125,1.16427,10.702,41.367558,32.336433,0.23238547,20.98374000000001,1.2550799,1.2570576931651174,4314,55855,252,SDSS_specObj
180166,242.843,55.0642,0.14778,0.60099,10.0333,65.67755,11.974442,0.14750443,242.84182999999996,55.063923,2.6100512864563488,7564,56804,784,SDSS_specObj
18030,4.933,-0.4001,0.15536,-0.586144,9.658,128.6501,51.214752,0.15641342,4.93321,-0.400095,0.7561958284071164,1492,52932,182,SDSS_specObj
18323,3.4286,0.6522,0.15291,0.1555,9.359,98.96409,89.900406,0.1540853,3.4286577999999963,0.65235343,0.5902372304745095,4218,55479,720,SDSS_specObj
18325,8.9057,0.37,0.25736,0.40554,11.5,197.06195,14.400687,0.25865322,8.906866999999977,0.36951026,4.556066400475079,3587,55182,738,SDSS_specObj
18415,337.478,1.0586,0.12958,-1.6309,10.6005,154.86613,27.482243,0.13097382,337.47751,1.05847,1.824735057071134,1102,52883,445,SDSS_specObj
18463,17.566,0.472,0.267,0.94365,10.244,33.0786,105.73097,0.26827267,17.56642199999999,0.47198729,1.519837370069702,4226,55475,882,SDSS_specObj
18602,338.984,0.6092,0.13713,0.90996,8.85232,414.82697,110.54217,0.13834025,338.9837,0.60910069,1.1375789440090602,4203,55447,922,SDSS_specObj
18612,12.2879,0.597,0.11388,-0.737167,10.2452,118.822655,9.369551,0.11492845,12.288009,0.59660431,1.4775370454988956,394,51812,385,SDSS_specObj
18697,11.2239,-0.9971,0.10661,0.73545,9.67706,118.89394,19.662638,0.10726174,11.2242,-0.996865,1.3717736223268806,1085,52531,92,SDSS_specObj
18749,12.5473,0.6754,0.18948,-1.40939,11.172,179.79614,10.444919,0.19061482,12.546583999999996,0.67571213,2.8117126319482986,3590,55201,870,SDSS_specObj
18809,50.8813,0.6666,0.13169,-1.16804,10.6395,259.09427,14.26115,0.13218547,50.88065,0.66728731,3.4054511842358823,413,51821,632,SDSS_specObj
18835,53.6851,0.3555,0.12278,0.75966,10.1221,112.93179,12.089942,0.12318581,53.68539,0.3555,1.0439799043027176,1063,52591,510,SDSS_specObj
18940,10.349,0.412,0.21114,-0.841378,10.226,62.08552,34.948162,0.2123894,10.348688999999979,0.41179135,1.3482027587839658,3589,55186,612,SDSS_specObj
18965,13.5091,1.069,0.20469,-0.612498,10.63,63.98971,17.86901,0.20590138,13.509206000000006,1.0689049,0.5126190100560905,4224,55481,709,SDSS_specObj
19002,42.6154,-0.5512,0.27021,0.34724,10.716,124.879364,16.638031,0.2710299,42.616196,-0.55117867,2.866496088624225,4241,55450,146,SDSS_specObj
19027,328.884,-0.372,0.29123,0.5424,9.592,850.0,-3.0,0.2926199,328.88406,-0.37179989,0.752080069605206,4197,55479,104,SDSS_specObj
190340,334.134,0.4733,0.1384,0.50784,10.0088,95.99868,21.201818,0.13958661,334.13498,0.47340226,3.5470351849184563,1034,52525,569,SDSS_specObj
19051,351.375,0.4231,0.27631,0.73313,11.292,179.36401,11.473957,0.27777293,351.37527,0.42340776,1.4738570567916367,4211,55446,648,SDSS_specObj
19149,31.46,-0.3319,0.21037,1.04946,9.612,67.90607,31.59656,0.21128665,31.460413000000017,-0.33256024,2.8035660131296805,4235,55451,424,SDSS_specObj
19174,25.6597,1.0304,0.16375,-0.75334,11.02,187.42151,8.235587,0.16614617,25.659770999999978,1.0303563,0.3000996769146149,3639,55205,826,SDSS_specObj
19230,332.891,0.7648,0.22017,-1.64141,10.516,113.404335,19.561714,0.2215011,332.89102,0.764727,0.272482873735187,4200,55499,674,SDSS_specObj
19341,15.8603,0.3314,0.23556,-1.526,11.015,201.97382,15.561692,0.23672608,15.860847999999976,0.33160189,2.1023923543720726,3736,55214,530,SDSS_specObj
19353,43.1144,0.2518,0.15341,0.90998,11.004,59.59111,30.605549,0.15403427,43.113285,0.25173599,4.020570313368388,1562,53052,400,SDSS_specObj
19794,359.319,0.2494,0.2958,-2.38106,11.367,262.66302,26.79631,0.29697755,359.3191,0.24849324,3.284126531391755,684,52523,640,SDSS_specObj
1992G,159.077,37.3212,0.00692,-0.216055,10.0995,66.1238,8.254169,0.0058366144,159.07776,37.320372,3.6904382362848427,8853,57459,898,SDSS_specObj
19953,332.931,0.5791,0.12207,0.72853,9.37542,87.808815,38.13038,0.123225346,332.93036000000006,0.57932967,2.447752357031548,4200,55499,684,SDSS_specObj
