apogee_id,teff,logg,m_h,mass,age,distance,age_gyr
2M13261954+2837475,4585.481,2.45058,-0.025421,1.12312,7452843000.0,719.7842,7.452843
2M13270922+2802512,4772.29,2.524437,-0.71708,0.9631573,8039756000.0,2781.412,8.039756
2M13271442+2900409,5066.279,2.900261,-1.242,0.944593,7339625000.0,1626.75,7.339625
2M13271850+2841521,3450.975,0.7863613,-1.7989,0.9587851,6599540000.0,7173.833,6.59954
2M13272890+2845018,4691.504,2.44977,-0.4587,1.005109,7965701000.0,3215.376,7.965701
2M13273569+2738152,4784.298,2.668569,-0.60949,1.027061,6786969000.0,1576.652,6.786969
2M13273827+2815485,4459.369,2.093429,-0.59567,1.250266,3588957000.0,3329.645,3.588957
2M13282171+2711384,4991.746,3.476648,-0.41757,1.23736,4079941000.0,616.9955,4.079941
2M13283903+2727245,4969.95,3.454578,-0.071169,1.152775,6562184000.0,867.4868,6.562184
2M13285069+2839287,4947.438,3.366256,-0.071931,1.241297,5112567000.0,555.1213,5.112567
2M13285221+2705512,4605.604,1.320174,-1.6927,1.15143,3656102000.0,5257.751,3.656102
2M13285474+2813277,4753.725,2.794335,-0.29115,1.020822,8432893000.0,825.3974,8.432893
2M13291196+2829046,4869.243,2.852011,-0.48635,0.9228794,10563760000.0,2139.166,10.56376
2M13291451+2650068,5083.139,3.432964,-0.10504,1.41427,3248047000.0,606.9294,3.248047
2M13292127+2708142,4930.21,3.064691,-0.37383,1.110804,5970921000.0,492.3516,5.970921
2M13294060+2643071,4830.747,2.794017,-0.48054,1.036127,7077548000.0,1553.626,7.077548
2M13294841+2838467,4908.648,2.551506,-0.25385,1.256972,4298082000.0,570.4132,4.298082
2M13301333+2717046,5127.313,2.322101,-2.4839,0.4376668,20431370000.0,2172.833,20.43137
2M13301452+2828380,4962.922,3.401596,0.063527,1.491333,3200942000.0,968.8094,3.200942
2M13301973+2905410,4373.857,3.153843,-0.034786,0.966658,12516840000.0,1759.993,12.51684
2M13302331+2738379,5145.317,3.257236,-1.0214,1.015885,6037831000.0,213.2246,6.037831
2M13302689+2919125,4895.244,3.291299,-0.012767,1.128059,7422447000.0,1065.268,7.422447
2M13302981+2925461,4694.048,2.595963,-0.18872,1.20598,5153709000.0,1023.091,5.153709
2M13303076+2731377,5014.345,3.436933,-0.25758,1.153155,5695093000.0,488.6425,5.695093
2M13303961+2719096,5147.192,2.799093,-0.96774,1.128268,4329192000.0,2742.458,4.329192
2M13304893+2829500,4645.429,2.398356,-0.031882,1.235445,5362509000.0,987.4789,5.362509
2M13305863+2908269,4588.003,2.001268,-0.77198,1.031302,6223087000.0,2171.355,6.223087
2M13310270+2803397,4760.422,1.707626,-1.3031,0.8440322,10648830000.0,6158.013,10.64883
2M13310388+2739592,4962.975,3.266483,-0.08679,1.299788,4338708000.0,394.6844,4.338708
2M13311710+2823034,4855.103,2.42616,-0.4088,0.9699913,9313180000.0,804.9368,9.31318
2M13312416+2909503,4880.072,3.433247,0.13335,1.333215,5273515000.0,984.4407,5.273515
2M13312510+2847068,4815.164,3.216016,-0.063328,1.081292,8231255000.0,902.5682,8.231255
2M13314370+2750383,4690.184,2.546479,-0.44886,0.9989337,8188484000.0,1642.881,8.188484
2M13314691+2804210,4254.209,1.007415,-1.1625,1.085766,4693434000.0,6870.211,4.693434
2M13314828+2731229,4759.937,2.397365,-0.25895,1.033979,8253152000.0,2904.219,8.253152
2M13320073+2721486,4966.374,2.950934,-0.68514,0.9615983,8200196000.0,1023.864,8.200196
2M13320630+2909375,4714.249,1.826855,-1.232,0.9479008,7267190000.0,2550.92,7.26719
2M13320701+2840158,4752.516,2.688531,-0.27804,1.125933,6082569000.0,2733.187,6.082569
2M13323160+2746353,3965.542,1.199407,-0.5233,0.9080353,10931970000.0,1865.597,10.93197
2M13323523+2918295,4952.708,2.10831,-0.86869,1.342756,2572759000.0,3309.892,2.572759
2M13324675+2927006,4864.702,3.161616,-0.35472,1.026394,7921296000.0,619.4417,7.921296
2M13325885+2718504,4359.397,1.398024,-1.0128,1.287165,2819628000.0,5532.977,2.819628
2M13325899+2816370,4711.204,2.602539,-0.3997,1.004548,8287077000.0,1529.544,8.287077
2M13331378+2811443,4650.121,1.829492,-0.9882,0.9933568,6571831000.0,3263.207,6.571831
2M13332417+2750115,4204.839,1.560934,-0.57588,0.9487094,9084101000.0,4109.25,9.084101
2M13333554+2821403,4679.126,2.823828,-0.17634,1.017182,9295082000.0,816.9371,9.295082
