apogee_id,field,glon,glat,teff,logg,m_h,alpha_m,vmicro,vsini,r_arcmin
2M16391045+3612137,M13,58.5959634312462,41.3882551503697,4513.952,2.173428,-0.5179,0.268785,1.370124,-9999.0,37.954648843508636
2M16391543+3608365,M13,58.5184921651433,41.365047532624,4631.191,2.74846,0.0059981,0.172895,1.016071,-9999.0,40.188724180070146
2M16391920+3522287,M13,57.5036268824784,41.2638830987684,4746.519,2.063618,-1.0527,0.164455,1.491386,-9999.0,92.84296193265487
2M16391959+3731295,M13,60.3536687015317,41.4877295431071,4952.404,3.481297,-0.353,0.188875,0.4649326,2.265792,87.75637421883783
2M16392160+3640068,M13,59.2173244803626,41.39980507903,4462.017,1.860196,-0.73618,0.301235,1.470415,-9999.0,31.912581220646622
2M16392213+3533545,M13,57.7568291965147,41.2767754168298,4839.204,2.95876,-0.42029,0.283075,0.3394689,-9999.0,78.34449928843235
2M16392368+3530160,M13,57.6774827234107,41.2643712008668,4762.578,2.628122,-0.52229,0.270765,1.11022,-9999.0,82.72999737390228
2M16392414+3702517,M13,59.7215197393044,41.4287595398642,5093.358,3.207628,-0.59516,0.292115,0.8925447,3.383218,52.833119145397106
2M16392465+3751067,M13,60.7905013822293,41.4992042571181,4723.072,2.431945,-0.26606,0.200065,1.232693,-9999.0,112.52754588728757
2M16392535+3525016,M13,57.563068237421,41.248246389295,4777.083,3.015321,-0.36725,0.257555,0.3159294,-9999.0,89.15649008093499
2M16392577+3723182,M13,60.1747054726266,41.4551649783049,4840.025,1.596884,-9999.0,-9999.0,1.170167,-9999.0,77.15877973070556
2M16392790+3625301,M13,58.897407337061,41.3536237028761,4833.084,2.925307,-0.57683,0.287995,0.6776259,-9999.0,27.46133192334852
2M16393292+3719415,M13,60.0976094719965,41.4260871453403,4625.632,2.450216,0.095023,0.011932,1.21803,-9999.0,72.23063822633183
2M16393366+3632322,M13,59.0554208582519,41.3467118446456,4935.134,3.657342,-0.10062,0.084949,0.3758807,2.967085,26.34405137075861
2M16393877+3616077,M13,58.6957506769802,41.3006735763264,5156.061,2.027173,-9999.0,-9999.0,1.998573,-9999.0,30.08259511626358
2M16393898+3733489,M13,60.4126789039868,41.427337648235,4560.739,2.376553,-0.27406,0.159725,1.167328,-9999.0,89.70243508342129
2M16394029+3635076,M13,59.1156898074567,41.3291084362043,5145.543,2.348716,-0.89666,0.298315,1.683992,-9999.0,25.933761395375434
2M16394075+3524321,M13,57.5606401645905,41.1953471951559,4312.021,1.836249,-0.5507,0.250585,1.397237,-9999.0,88.63092595371937
2M16394247+3732115,M13,60.3780981065906,41.4134489474719,4707.507,2.757202,-0.20617,0.165695,1.01202,-9999.0,87.46743267686821
2M16395454+3620361,M13,58.8020159916855,41.2560607056553,5077.87,3.48643,-0.3011,0.06951,0.3869368,1.740885,24.22509638716766
2M16395923+3648194,M13,59.4155830670023,41.288627959955,4478.183,2.099402,-0.49064,0.224675,1.304638,-9999.0,33.29090450371184
2M16395971+3634200,M13,59.1071762875789,41.2630972538317,5015.64,2.548774,-1.4191,0.340885,1.119507,-9999.0,21.973512361750362
2M16395987+3750001,M13,60.7789675830097,41.3821676370128,5021.255,2.082975,-2.4619,0.235825,1.663911,-9999.0,109.8538980366797
2M16400236+3606169,M13,58.490403876803,41.2037971973077,4816.229,2.528901,-0.60645,0.294125,0.9547859,-9999.0,35.81436761683725
2M16400320+3525553,M13,57.6034087295993,41.1224910702411,4312.497,1.975302,-0.25962,0.230925,1.265115,-9999.0,85.35306230498557
2M16400426+3520585,M13,57.495404329478,41.1088375246306,4695.668,2.882396,-0.18581,0.195505,0.7643636,-9999.0,91.65550208751657
2M16400485+3628325,M13,58.9819059002652,41.2358239679995,4622.52,2.582182,-0.35526,0.245645,1.132161,-9999.0,19.621975731976214
2M16401117+3721541,M13,60.1620705960766,41.3033307278737,4898.831,2.436271,-0.57271,0.291235,1.440323,-9999.0,73.04185506545039
2M16401139+3529169,M13,57.6816854892053,41.1017063506993,4778.646,2.529938,-0.21518,0.196565,1.269872,-9999.0,80.52462202426243
2M16401299+3511146,M13,57.2867917114369,41.0591956557919,5137.677,3.790967,-0.0084648,0.037646,0.469667,2.24978,103.77929532487241
2M16401604+3542091,M13,57.9668123981686,41.1117356106949,4720.715,3.037501,-0.06575,0.153715,0.5520139,-9999.0,63.75088599583449
2M16401798+3533553,M13,57.7871226874503,41.0888538276005,4954.547,2.36641,-0.5998,0.279155,1.699417,-9999.0,74.15324273088835
2M16401852+3647229,M13,59.4034562893719,41.222996778425,5234.808,2.212886,-1.1916,0.242145,1.457639,-9999.0,30.166030660706056
2M16402233+3618474,M13,58.7755266773436,41.1600473930221,5146.331,2.486268,-1.524,0.193105,1.400941,-9999.0,20.5670896351635
2M16402686+3543543,M13,58.0110545791413,41.0788509805778,4730.346,2.437775,-0.054326,0.043259,1.326417,-9999.0,60.7869178934737
2M16402882+3542071,M13,57.9728858613971,41.0687255725368,4840.903,3.308252,-0.28458,0.255115,0.300483,1.987376,62.95139679087176
2M16402894+3622327,M13,58.8613560777858,41.1448321569021,4960.317,3.172159,-0.49151,0.274825,0.3111716,-9999.0,16.6753760705853
2M16403163+3713340,M13,59.9865863611889,41.2226968543248,4689.384,1.677094,-1.3172,0.160155,1.784596,-9999.0,61.52561155188383
2M16403418+3647236,M13,59.410811774038,41.1710574126993,4757.601,2.518676,-0.60177,0.228525,1.357469,-9999.0,28.69989169592604
2M16403600+3649093,M13,59.450437672014,41.1680175244296,4756.691,3.554208,-0.48784,-0.126605,0.3344799,30.51406,30.62695200359993
2M16403601+3604399,M13,58.4717339956566,41.0881587140244,4809.777,2.602719,-0.74029,0.253255,0.3842289,-9999.0,34.019038018919574
2M16403846+3623065,M13,58.8783836703708,41.1140789171189,4603.208,2.267414,0.048422,0.001429001,1.388257,-9999.0,14.570374926368629
2M16404254+3720148,M13,60.138488009855,41.1972987328637,4330.817,1.516956,-0.80679,0.274035,1.670514,-9999.0,69.86911120838562
2M16404298+3627418,M13,58.9814491389277,41.1073126377721,4617.752,1.410676,-1.5369,0.195725,1.831091,-9999.0,11.962054309072212
