name,environment,cluster,P0_s,P1_sps,pdot_over_p,log_abs_pdot_over_p,logP,log_b_proxy
J1748-2446au,globular_cluster,Terzan 5,0.00454822,-1.06797e-19,-2.3481054126669332e-17,-16.629282410358,-2.3421585,-10.6568
J1748-2446av,globular_cluster,Terzan 5,0.00184945,-4.25047e-20,-2.2982346102895455e-17,-16.6386056393756,-2.7329574,-11.05226
J1748-2446aw,globular_cluster,Terzan 5,0.01304908,1.306465e-18,1.0011931875657136e-16,-15.99948211413042,-1.8844201,-9.8841612
J1748-2446ax,globular_cluster,Terzan 5,0.0019435,-9.5495e-21,-4.9135580138924625e-18,-17.308603911909785,-2.7114155,-11.365717
J1748-2021B,globular_cluster,NGC 6440,0.0167601,-3.2913e-19,-1.963771099217785e-17,-16.706909135765017,-1.7757234,-10.129178
J1748-2021C,globular_cluster,NGC 6440,0.00622693,-5.984e-20,-9.609871959376449e-18,-17.01728239877336,-2.205726,-10.714367
J1748-2021D,globular_cluster,NGC 6440,0.0134958,5.8678e-19,4.3478711895552684e-17,-16.36172333084472,-1.8698014,-10.050663
J1748-2021E,globular_cluster,NGC 6440,0.016264,3.124e-19,1.9208066896212493e-17,-16.716516340424718,-1.7887726,-10.147031
J1748-2021F,globular_cluster,NGC 6440,0.00379363,-1.055e-20,-2.780977586111455e-18,-17.555802511411763,-2.420945,-11.198846
J1748-2021G,globular_cluster,NGC 6440,0.00521534,-1.59525e-19,-3.058765104480245e-17,-16.514453873046374,-2.2827174,-10.539944
J1748-2021H,globular_cluster,NGC 6440,0.00284849,1.89976e-19,6.66935815116079e-17,-16.175915959909833,-2.5453853,-10.633343
J1750-3703B,globular_cluster,NGC 6441,0.00607454,1.92e-20,3.1607331583955327e-18,-17.500212167472057,-2.2164866,-10.966593
J1750-3703C,globular_cluster,NGC 6441,0.0265687,-9.96e-19,-3.74877205132355e-17,-16.42611096658354,-1.5756297,-9.7886852
J1750-3703D,globular_cluster,NGC 6441,0.00513994,4.928e-19,9.587660556348906e-17,-16.018287350223925,-2.289042,-10.298186
J1801-0857A,globular_cluster,NGC 6517,0.00717561,-5.0992e-19,-7.106294795843142e-17,-16.148356780303995,-2.1441412,-10.21832
J1801-0857B,globular_cluster,NGC 6517,0.02896159,2.2034e-18,7.608007709521474e-17,-16.118729055981138,-1.5381776,-9.5975421
J1801-0857C,globular_cluster,NGC 6517,0.0037387,-6.298e-20,-1.6845427555032495e-17,-16.77351796168287,-2.4272794,-10.814038
J1801-0857D,globular_cluster,NGC 6517,0.00422653,7.52e-21,1.7792373412704984e-18,-17.749766115362455,-2.374016,-11.248899
J1801-0857E,globular_cluster,NGC 6517,0.0076017,-1.03598e-18,-1.362826736124814e-16,-15.865559354970921,-2.1190893,-10.051869
J1801-0857F,globular_cluster,NGC 6517,0.02489199,-2.6708e-18,-1.0729555973628465e-16,-15.969418250279443,-1.6039404,-9.5886495
J1801-0857H,globular_cluster,NGC 6517,0.00564272,3.431e-20,6.080400941389967e-18,-17.216067782422634,-2.2485115,-10.856545
J1801-0857I,globular_cluster,NGC 6517,0.0032542,-1.642e-20,-5.045786982975847e-18,-17.297071087958535,-2.4875558,-11.136091
J1801-0857K,globular_cluster,NGC 6517,0.0095905,8.18e-19,8.529273760492153e-17,-16.0690879459999,-2.0181588,-10.052703
J1801-0857L,globular_cluster,NGC 6517,0.0060573,-3.38e-20,-5.580043913955063e-18,-17.25336238322849,-2.2177209,-10.844402
J1801-0857M,globular_cluster,NGC 6517,0.0053568,4.8586e-19,9.069967144563919e-17,-16.04239428614392,-2.2710946,-10.292292
J1801-0857N,globular_cluster,NGC 6517,0.0049946,-5.315e-19,-1.0641492812237217e-16,-15.972997443973195,-2.3014993,-10.287998
J1801-0857O,globular_cluster,NGC 6517,0.0042871,1.2139e-19,2.831517809241679e-17,-16.547980702470767,-2.3678364,-10.641827
J1803-3002A,globular_cluster,NGC 6522,0.00710139,4e-20,5.632700077027173e-18,-17.249283372918715,-2.1486566,-10.773298
J1803-3002C,globular_cluster,NGC 6522,0.0058404,6.973e-19,1.1939250736250943e-16,-15.923022927086214,-2.2335574,-10.195069
B1802-07,globular_cluster,NGC 6539,0.0231009,4.7e-19,2.0345527663424368e-17,-16.691531042191045,-1.6363711,-9.9821366
J1807-2459A,globular_cluster,NGC 6544,0.00305945,-4.335e-21,-1.4169213420712873e-18,-17.84865425818766,-2.5143566,-11.438684
J1807-2500B,globular_cluster,NGC 6544,0.00418618,8.23245e-20,1.9665781213421305e-17,-16.706288796778303,-2.3781821,-10.731326
B1820-30A,globular_cluster,NGC 6624,0.00544,3.385e-18,6.222426470588235e-16,-15.206040226677016,-2.2644011,-9.8674212
J1823-3021G,globular_cluster,NGC 6624,0.00609129,-1.8e-20,-2.955039080391838e-18,-17.529436771200224,-2.2152907,-10.980009
J1824-2452B,globular_cluster,M28 (NGC 6626),0.00654666,-2.415e-19,-3.6889039601873315e-17,-16.433102651388438,-2.1839802,-10.400532
J1824-2452C,globular_cluster,M28 (NGC 6626),0.00415828,1.70158e-19,4.092028434833633e-17,-16.388061357108352,-2.3810863,-10.575117
J1824-2452E,globular_cluster,M28 (NGC 6626),0.00541913,-1.088e-19,-2.0077023433650788e-17,-16.697300674104824,-2.2660704,-10.614721
J1824-2452F,globular_cluster,M28 (NGC 6626),0.00245115,9.494e-21,3.8732839687493624e-18,-17.411920661666134,-2.6106301,-11.31659
J1824-2452G,globular_cluster,M28 (NGC 6626),0.00590906,1.789e-19,3.027554297976328e-17,-16.518908059217104,-2.2284816,-10.487936
J1824-2452H,globular_cluster,M28 (NGC 6626),0.00462941,8.19e-20,1.7691239272391083e-17,-16.75224174366971,-2.3344744,-10.710595
J1824-2452J,globular_cluster,M28 (NGC 6626),0.00403969,-7.57e-20,-1.873906166067198e-17,-16.727252159755345,-2.393652,-10.757278
J1824-2452M,globular_cluster,M28 (NGC 6626),0.00478428,1.22818e-19,2.5671156370446547e-17,-16.59055456786955,-2.3201834,-10.615461
J1824-2452N,globular_cluster,M28 (NGC 6626),0.00335287,1.59209e-19,4.748439396695965e-17,-16.323449100431212,-2.4745833,-10.636308
J1835-3259B,globular_cluster,NGC 6652,0.00183029,6.65e-20,3.6333040119325354e-17,-16.439698261597556,-2.7374801,-10.957329
J1836-2354A,globular_cluster,M22 (NGC 6656),0.00335434,2.318e-21,6.910450341945063e-19,-18.160493649492846,-2.4743929,-11.55464
